lineage_id,candidate_rank,candidate_app_id,application_title,application_pi,application_institution,match_grade,match_score,evidence_level,evidence_components,score_details,match_reason,evidence_urls,manual_review_needed
lineage_3dsboy08_intellij-idea-14-keygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/3dsboy08/IntelliJ-IDEA-14-keygen,true
lineage_3psilowne_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/3psilowne/JetbrainsPatchKeygen,true
lineage_41lx_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/41lx/GoLangBooks,true
lineage_9p9_nitro-generator,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2023/10/2023-10-12-discord.md; https://github.com/9P9/Nitro-Generator,true
lineage_a-khajelou_intellij-idea-14-keygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/a-khajelou/IntelliJ-IDEA-14-keygen,true
lineage_aalayahgray_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/Aalayahgray/GoLangBooks,true
lineage_aaronproxd_discord-nitro,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2023/10/2023-10-12-discord.md; https://github.com/AaronProxd/Discord-Nitro,true
lineage_abdulsubhanb_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/abdulsubhanb/GoLangBooks,true
lineage_abhij33t99_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/abhij33t99/GoLangBooks,true
lineage_abhinavrj_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/abhinavrj/GoLangBooks,true
lineage_abhishek-nerella_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/abhishek-nerella/GoLangBooks,true
lineage_abhishekgupta9087_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/AbhishekGupta9087/GoLangBooks,true
lineage_ace120c_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/Ace120C/GoLangBooks,true
lineage_adamelkholyy_ukbython,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-5.md; https://github.com/adamelkholyy/ukbython/blob/2ab4599d02e4ce39e730f9da8a64646657a80412/main.ipynb; https://github.com/adamelkholyy/ukbython,true
lineage_adhikariaman01_jetbrains-intellij-idea-key-generator,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/adhikariaman01/Jetbrains-IntelliJ-IDEA-Key-Generator,true
lineage_aditeyapatakoti_pikagen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2023/10/2023-10-12-discord.md; https://github.com/aditeyapatakoti/PikaGen,true
lineage_aditya76-webdev_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/aditya76-webdev/GoLangBooks,true
lineage_adoniss-m_nitro-gen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2023/10/2023-10-12-discord.md; https://github.com/Adoniss-M/nitro-gen,true
lineage_adrianaescobar_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/AdrianaEscobar/GoLangBooks,true
lineage_adrianharris96_divergence_pipeline,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2026/03/2026-03-31-uk-biobank-2.md; https://github.com/AdrianHarris96/Divergence_Pipeline/blob/758d336da1634ec64f7ab6f6edea292ec9cdc7c1/randomized_pop_iids.csv; https://github.com/AdrianHarris96/Divergence_Pipeline,true
lineage_aiai97_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/aiai97/GoLangBooks,true
lineage_aiden-li-2000_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/aiden-li-2000/GoLangBooks,true
lineage_aishaalsuwaidi_genetic-annotation-aware-dimensionality-reduction-in-uk-biobank,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/10/2025-10-17-uk-biobank-3.md; https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank/blob/main/Paper%20Results.ipynb; https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank,true
lineage_aitoroses_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/aitoroses/JetbrainsPatchKeygen,true
lineage_ajaysingh77_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/ajaysingh77/GoLangBooks,true
lineage_ajpag_ukb-brain-symptoms-clustering,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/3.3_binary_model.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_brain/1.20_data_col_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/9a7cc1a7ea7df77a210ccc6167a01cf47bd3de4f/ml_kwanbocols/Biobank_data_analysis_predict.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/3.2_multi_model.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.20_data_col_filter_whole-Copy1.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.21_data_correlation_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.2_data_col_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.1_data_col_filter_patch_test.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.1_data_col_filter_patch_test.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.40_data_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.41_data_correlation_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/a093666c6b07a4da5b2249bfac508d6dc43b3fbb/5_data_cleaning_comp/1.2_data_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/3.1_clus_model_grid.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/2.4_EDA_correlation_1yr.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/9a7cc1a7ea7df77a210ccc6167a01cf47bd3de4f/ml_kwanbocols/Biobank_data_analysis_clustering.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.3_data_6mo_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_javicol/1.3_data_6mo_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_andcol/1.4_data_1yr_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/data_cleaning_brain/1.1_data_col_filter_patch_test.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/2.3_EDA_and_clean_1yr.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_javicols/2.2_EDA_6mo.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_andcols/2.2_EDA_6mo.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/a093666c6b07a4da5b2249bfac508d6dc43b3fbb/5_data_cleaning_comp/1.1_data_col_filter_whole.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_andcols/3.1_baseline_model.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/github/dmca/blob/master/2025/10/2025-10-07-uk-biobank.md; https://github.com/ajpag/ukb-brain-symptoms-clustering/blob/1ccf51fd7b853704b73db661426f5c56b991174c/ml_andcols/2.3_EDA_1yr.ipynb; https://github.com/ajpag/ukb-brain-symptoms-clustering,true
lineage_akumar261089_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/akumar261089/GoLangBooks,true
lineage_alariver_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alariver/GoLangBooks,true
lineage_alatteaday_data2vec_bert_ukb,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-7.md; https://github.com/alatteaday/data2vec_bert_ukb/blob/main/data/pre_train.csv; https://github.com/alatteaday/data2vec_bert_ukb; https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-7.md; https://github.com/alatteaday/data2vec_bert_ukb/blob/main/data/pre_val.csv; https://github.com/alatteaday/data2vec_bert_ukb,true
lineage_albbaous_gwas_phenotype,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2026/03/2026-03-25-uk-biobank-2.md; https://github.com/albbaous/GWAS_phenotype/blob/dfb5b2cf0b26a985ad6a003c861d05477502203a/ukb_phenotype_data.pheno; https://github.com/albbaous/GWAS_phenotype; https://github.com/github/dmca/blob/master/2026/03/2026-03-25-uk-biobank-2.md; https://github.com/albbaous/GWAS_phenotype/blob/d394d993c988333ead2d206e32744866a5bf547f/README.md; https://github.com/albbaous/GWAS_phenotype,true
lineage_alefejosefe1_cursodehtml5,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/alefejosefe1/CursoDeHTML5/blob/master/Licen%C3%A7as-php-storm8.txt; https://github.com/alefejosefe1/CursoDeHTML5,true
lineage_alenx_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/alenX/JetbrainsPatchKeygen,true
lineage_alex-vungle_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alex-vungle/GoLangBooks,true
lineage_alex440440_intellij-idea-13-keygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/alex440440/IntelliJ-IDEA-13-keygen,true
lineage_alexandergarmash_intellij-idea-14-keygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/AlexanderGarmash/IntelliJ-IDEA-14-keygen,true
lineage_alexandergarmash_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/AlexanderGarmash/JetbrainsPatchKeygen,true
lineage_alexandrbuvaev_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/AlexandrBuvaev/GoLangBooks,true
lineage_alexbj86_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alexbj86/GoLangBooks,true
lineage_alexrogalskiy_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/AlexRogalskiy/GoLangBooks,true
lineage_alexspiter_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alexspiter/GoLangBooks,true
lineage_alexwjung_cancerrisk,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/11/2025-11-25-uk-biobank-6.md; https://github.com/alexwjung/CancerRisk/blob/0f496ae2aaf37d17ee81fb60746cc354ee2e4567/main/UKB/scripts/00_dcode_frequency.py; https://github.com/alexwjung/CancerRisk; https://github.com/github/dmca/blob/master/2025/11/2025-11-25-uk-biobank-6.md; https://github.com/alexwjung/CancerRisk/blob/0f496ae2aaf37d17ee81fb60746cc354ee2e4567/main/UKB/scripts/00_ukb_pred.py; https://github.com/alexwjung/CancerRisk; https://github.com/github/dmca/blob/master/2025/11/2025-11-25-uk-biobank-6.md; https://github.com/alexwjung/CancerRisk/blob/d89f782a20acc8a80b60ba5b85f37269bf2b0228/main/UKB/scripts/00_qrisk_pred.py; https://github.com/alexwjung/CancerRisk,true
lineage_alhifnywahid_font-awesome-pro,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2024/05/2024-05-21-fonticons.md; https://github.com/alhifnywahid/font-awesome-pro,true
lineage_alikazai_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alikazai/GoLangBooks,true
lineage_alimnastaev_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alimnastaev/GoLangBooks,true
lineage_aliozgur_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/aliozgur/GoLangBooks,true
lineage_alirezashli_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alirezashli/GoLangBooks,true
lineage_allengaller_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/allengaller/JetbrainsPatchKeygen,true
lineage_alperbek_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alperbek/GoLangBooks,true
lineage_alpheromondi_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/AlpherOmondi/GoLangBooks,true
lineage_alsherif-khalaf_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/alsherif-khalaf/GoLangBooks,true
lineage_alsnow_learnnote,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/AlSnow/LearnNote/blob/master/%E5%B8%B8%E7%94%A8%E7%9A%84%E6%93%8D%E4%BD%9C.txt; https://github.com/AlSnow/LearnNote,true
lineage_alvinchiou_jetbrainspatchkeygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/AlvinChiou/JetbrainsPatchKeygen,true
lineage_am-523_yang,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2023/10/2023-10-12-discord.md; https://github.com/am-523/YANG,true
lineage_am-ylm_golangbooks,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2025/05/2025-05-29-packt.md; https://github.com/am-ylm/GoLangBooks,true
lineage_amadu80_intellij-idea-14-keygen,,,,,,unresolved,0,,,{},Evidence is too generic to assign an application.,https://github.com/github/dmca/blob/master/2015/2015-07-06-jetbrains.md; https://github.com/amadu80/IntelliJ-IDEA-14-keygen,true
